feature_1,feature_2,pearson_r
uric_acid_count,albumin_count,0.9966
ck_max_was_measured,ldh_max_was_measured,0.9947
ck_max_was_measured,ldh_min_was_measured,0.9947
ck_max_was_measured,ldh_mean_was_measured,0.9947
ck_max_was_measured,ldh_first_was_measured,0.9947
ck_min_was_measured,ldh_max_was_measured,0.9947
ck_min_was_measured,ldh_min_was_measured,0.9947
ck_min_was_measured,ldh_mean_was_measured,0.9947
ck_min_was_measured,ldh_first_was_measured,0.9947
ck_min_was_measured,ck_max_was_measured,1.0
ck_mean,ck_max,0.9806
ck_mean_was_measured,ldh_max_was_measured,0.9947
ck_mean_was_measured,ldh_min_was_measured,0.9947
ck_mean_was_measured,ldh_mean_was_measured,0.9947
ck_mean_was_measured,ldh_first_was_measured,0.9947
ck_mean_was_measured,ck_max_was_measured,1.0
ck_mean_was_measured,ck_min_was_measured,1.0
ck_first_was_measured,ldh_max_was_measured,0.9947
ck_first_was_measured,ldh_min_was_measured,0.9947
ck_first_was_measured,ldh_mean_was_measured,0.9947
ck_first_was_measured,ldh_first_was_measured,0.9947
ck_first_was_measured,ck_max_was_measured,1.0
ck_first_was_measured,ck_min_was_measured,1.0
ck_first_was_measured,ck_mean_was_measured,1.0
ck_count,ldh_count,0.991
spo2_min_was_measured,spo2_max_was_measured,1.0
spo2_mean_was_measured,spo2_max_was_measured,1.0
spo2_mean_was_measured,spo2_min_was_measured,1.0
spo2_first_was_measured,spo2_max_was_measured,1.0
spo2_first_was_measured,spo2_min_was_measured,1.0
spo2_first_was_measured,spo2_mean_was_measured,1.0
systolic_bp_min_was_measured,systolic_bp_max_was_measured,1.0
systolic_bp_mean_was_measured,systolic_bp_max_was_measured,1.0
systolic_bp_mean_was_measured,systolic_bp_min_was_measured,1.0
systolic_bp_first_was_measured,systolic_bp_max_was_measured,1.0
systolic_bp_first_was_measured,systolic_bp_min_was_measured,1.0
systolic_bp_first_was_measured,systolic_bp_mean_was_measured,1.0
diastolic_bp_max_was_measured,systolic_bp_max_was_measured,0.9996
diastolic_bp_max_was_measured,systolic_bp_min_was_measured,0.9996
diastolic_bp_max_was_measured,systolic_bp_mean_was_measured,0.9996
diastolic_bp_max_was_measured,systolic_bp_first_was_measured,0.9996
diastolic_bp_min_was_measured,systolic_bp_max_was_measured,0.9996
diastolic_bp_min_was_measured,systolic_bp_min_was_measured,0.9996
diastolic_bp_min_was_measured,systolic_bp_mean_was_measured,0.9996
diastolic_bp_min_was_measured,systolic_bp_first_was_measured,0.9996
diastolic_bp_min_was_measured,diastolic_bp_max_was_measured,1.0
diastolic_bp_mean_was_measured,systolic_bp_max_was_measured,0.9996
diastolic_bp_mean_was_measured,systolic_bp_min_was_measured,0.9996
diastolic_bp_mean_was_measured,systolic_bp_mean_was_measured,0.9996
diastolic_bp_mean_was_measured,systolic_bp_first_was_measured,0.9996
diastolic_bp_mean_was_measured,diastolic_bp_max_was_measured,1.0
diastolic_bp_mean_was_measured,diastolic_bp_min_was_measured,1.0
diastolic_bp_first_was_measured,systolic_bp_max_was_measured,0.9996
diastolic_bp_first_was_measured,systolic_bp_min_was_measured,0.9996
diastolic_bp_first_was_measured,systolic_bp_mean_was_measured,0.9996
diastolic_bp_first_was_measured,systolic_bp_first_was_measured,0.9996
diastolic_bp_first_was_measured,diastolic_bp_max_was_measured,1.0
diastolic_bp_first_was_measured,diastolic_bp_min_was_measured,1.0
diastolic_bp_first_was_measured,diastolic_bp_mean_was_measured,1.0
diastolic_bp_count,systolic_bp_count,0.9998
heart_rate_min_was_measured,heart_rate_max_was_measured,1.0
heart_rate_mean_was_measured,heart_rate_max_was_measured,1.0
heart_rate_mean_was_measured,heart_rate_min_was_measured,1.0
heart_rate_first_was_measured,heart_rate_max_was_measured,1.0
heart_rate_first_was_measured,heart_rate_min_was_measured,1.0
heart_rate_first_was_measured,heart_rate_mean_was_measured,1.0
resp_rate_min_was_measured,resp_rate_max_was_measured,1.0
resp_rate_mean_was_measured,resp_rate_max_was_measured,1.0
resp_rate_mean_was_measured,resp_rate_min_was_measured,1.0
resp_rate_first_was_measured,resp_rate_max_was_measured,1.0
resp_rate_first_was_measured,resp_rate_min_was_measured,1.0
resp_rate_first_was_measured,resp_rate_mean_was_measured,1.0
temperature_min_was_measured,temperature_max_was_measured,1.0
temperature_mean_was_measured,temperature_max_was_measured,1.0
temperature_mean_was_measured,temperature_min_was_measured,1.0
temperature_first_was_measured,temperature_max_was_measured,1.0
temperature_first_was_measured,temperature_min_was_measured,1.0
temperature_first_was_measured,temperature_mean_was_measured,1.0
map_max_was_measured,systolic_bp_max_was_measured,0.9996
map_max_was_measured,systolic_bp_min_was_measured,0.9996
map_max_was_measured,systolic_bp_mean_was_measured,0.9996
map_max_was_measured,systolic_bp_first_was_measured,0.9996
map_max_was_measured,diastolic_bp_max_was_measured,1.0
map_max_was_measured,diastolic_bp_min_was_measured,1.0
map_max_was_measured,diastolic_bp_mean_was_measured,1.0
map_max_was_measured,diastolic_bp_first_was_measured,1.0
map_min_was_measured,systolic_bp_max_was_measured,0.9996
map_min_was_measured,systolic_bp_min_was_measured,0.9996
map_min_was_measured,systolic_bp_mean_was_measured,0.9996
map_min_was_measured,systolic_bp_first_was_measured,0.9996
map_min_was_measured,diastolic_bp_max_was_measured,1.0
map_min_was_measured,diastolic_bp_min_was_measured,1.0
map_min_was_measured,diastolic_bp_mean_was_measured,1.0
map_min_was_measured,diastolic_bp_first_was_measured,1.0
map_min_was_measured,map_max_was_measured,1.0
map_mean_was_measured,systolic_bp_max_was_measured,0.9996
map_mean_was_measured,systolic_bp_min_was_measured,0.9996
map_mean_was_measured,systolic_bp_mean_was_measured,0.9996
map_mean_was_measured,systolic_bp_first_was_measured,0.9996
map_mean_was_measured,diastolic_bp_max_was_measured,1.0
map_mean_was_measured,diastolic_bp_min_was_measured,1.0
map_mean_was_measured,diastolic_bp_mean_was_measured,1.0
map_mean_was_measured,diastolic_bp_first_was_measured,1.0
map_mean_was_measured,map_max_was_measured,1.0
map_mean_was_measured,map_min_was_measured,1.0
map_first_was_measured,systolic_bp_max_was_measured,0.9996
map_first_was_measured,systolic_bp_min_was_measured,0.9996
map_first_was_measured,systolic_bp_mean_was_measured,0.9996
map_first_was_measured,systolic_bp_first_was_measured,0.9996
map_first_was_measured,diastolic_bp_max_was_measured,1.0
map_first_was_measured,diastolic_bp_min_was_measured,1.0
map_first_was_measured,diastolic_bp_mean_was_measured,1.0
map_first_was_measured,diastolic_bp_first_was_measured,1.0
map_first_was_measured,map_max_was_measured,1.0
map_first_was_measured,map_min_was_measured,1.0
map_first_was_measured,map_mean_was_measured,1.0
map_count,systolic_bp_count,0.9999
map_count,diastolic_bp_count,0.9999
wbc_trend_was_measured,platelets_trend_was_measured,0.997
sodium_trend_was_measured,lactate_trend_was_measured,0.9946
potassium_trend_was_measured,lactate_trend_was_measured,0.9932
potassium_trend_was_measured,sodium_trend_was_measured,0.9986
fluid_balance_ml,fluid_input_total_ml,0.983
n_positive_cultures,n_cultures_24h,0.9898
