feature,federated_mean_abs_shap,CICU_mean_abs_shap,NICU_mean_abs_shap,PICU_mean_abs_shap,SICU_mean_abs_shap
hemoglobin_first,0.01298458671831785,0.01630349503958017,0.03691624132183305,0.023506396419746937,0.019869662829833948
ph_first,0.012319622678615237,0.024392518223177378,0.022061597133434314,0.02485825628134027,0.02609457439452631
urea_min,0.01185551024022621,0.021395073802821747,0.026503263154307843,0.031167618743200027,0.01819755229521111
diastolic_bp_first,0.011803399121135438,0.006273861786733496,0.013038201859967994,0.037249260398257586,0.031009956549516254
alc_first,0.011766975941972195,0.021541028738066736,0.01752667044280954,0.027533408799675793,0.026796799728850865
crp_first,0.011572626347196536,0.023357340233684323,0.017242052398095887,0.034097822255025875,0.022741611706263105
crp_max,0.011567330796041504,0.020753448799496147,0.019266784231253723,0.032125147690733206,0.022600554226294554
hemoglobin_min,0.011149448269268157,0.031194926872555827,0.028932348454996072,0.016750386415990238,0.01590356017054118
uric_acid_first,0.011083798896182183,0.032182957661287426,0.025200490143153693,0.010965575590814715,0.020883415874260063
spo2_min,0.010984666026192991,0.012197258216561011,0.04226223417445115,0.015327671907624898,0.009935339639352184
alc_max,0.01085147008699393,0.02083892664345026,0.01597833224020594,0.026287630675380168,0.02420612909472081
urea_mean,0.010419442083279825,0.018996487802391732,0.018338609543738737,0.025340264793721746,0.020973379657039534
hemoglobin_mean,0.010319624325083272,0.02981279733990725,0.028174680022547503,0.013296133860871417,0.014215548749812217
pco2_first,0.01002045581483903,0.021392452877107324,0.02032950299268654,0.01722376493126743,0.020047619375166262
ptt_mean,0.009853284787974804,0.023665325744988544,0.022602497858294636,0.014464212940168465,0.017813322658083792
ast_first,0.00955372406893176,0.011344561934925855,0.01581279444747444,0.025193478163197894,0.020985843641956364
bilirubin_first,0.009390631585176834,0.013135199252772362,0.02132876574430694,0.008682034652875713,0.022032226464435967
uric_acid_max,0.0092395202785102,0.026275215738590686,0.014976944260166972,0.021688960367984563,0.017300026240244994
sodium_mean,0.009045350078396805,0.010459807683509804,0.02513708567730232,0.027929285702894213,0.009674396141831866
base_excess_first,0.008827079554811108,0.016043588021233547,0.015360574965589843,0.024988283706715696,0.016432990236668072
bicarbonate_min,0.008570639346509056,0.016729180241125706,0.017126524923579533,0.02378251668178693,0.01396960588003635
ast_min,0.008345313164115443,0.007832061161774938,0.011580829645023844,0.033402249679308646,0.015959315440456482
heart_rate_max,0.008276148070468704,0.02376145728569968,0.016612499295077097,0.014830514703578386,0.014699087692725384
wbc_min,0.007912049002930811,0.013535851006741886,0.014666564421591751,0.017838542113489113,0.01615586495165831
bicarbonate_max,0.007854738824727463,0.021957397809613373,0.014201671320910238,0.01659796765161926,0.0143639784552456
ast_max,0.007781469480542423,0.009234412529947323,0.013105483615409325,0.02157363560989073,0.016456625537856012
wbc_first,0.007190223847889674,0.01474952947337077,0.012309621965898536,0.015136454277974179,0.01529125445537665
uric_acid_mean,0.007006576068412689,0.020099066911265187,0.011655977289830578,0.016326137695444227,0.012869736626174896
hemoglobin_max,0.006857460667695572,0.018980798047800878,0.01781189045985526,0.009129826029957213,0.01032471405669964
urea_max,0.006738216139655345,0.01177318621765382,0.011689333607021225,0.017055381339900325,0.013569545596868595
albumin_max,0.006709752808389801,0.015842444870832605,0.009628791553752876,0.016567596460196923,0.014195096314719354
n_positive_cultures,0.006324733621616724,0.012833474010918977,0.012046446734510254,0.01119650980212511,0.013367555173725579
sodium_max,0.006109289023632447,0.01380561927249302,0.011587317801448255,0.014030541439431995,0.011181089687709318
ph_trend,0.0060017868839203625,0.005965795233043138,0.016180724477448404,0.01180114014107268,0.009979477939533028
ldh_first,0.0060012045338377635,0.007451240446726917,0.010619307549962211,0.014760263789306075,0.012964878604041082
fibrinogen_max,0.005811744622188638,0.009258237597475188,0.00813255471859478,0.013846742282216285,0.013966798477964781
