feature,federated_mean_abs_shap,CICU_mean_abs_shap,NICU_mean_abs_shap,PICU_mean_abs_shap,SICU_mean_abs_shap
glucose_mean,0.023700494984897,0.05194906037746412,0.05214657772387011,0.05797475462091528,0.036285939443972653
shock_index,0.02350450627367544,0.03070562416483578,0.0762926362308683,0.03936994259812496,0.029021543644843006
glucose_min,0.02348923385509232,0.06371292097114922,0.05270890245749229,0.05572018385916736,0.032323860153555255
crp_max,0.022986926375689658,0.03146829354212598,0.05025637352487306,0.06518121584510435,0.03709372700888205
sodium_first,0.02281648260065028,0.03394897140000616,0.04421577773289028,0.05799562890521522,0.04365097348440452
n_antibiotics_24h,0.022082784851132135,0.04314691527780375,0.03852352302330129,0.04862405251243174,0.04606978741597356
ph_mean,0.02179659254082751,0.03942092655366837,0.03546885084687904,0.09615845185271202,0.028053152202398467
temperature_max,0.02158647939116044,0.035729167925438246,0.04320329703113632,0.061087565330052315,0.036464178069786975
ptt_max,0.021490475881988713,0.06181272346768448,0.04845643040712954,0.04338634214203215,0.03159366012860379
bilirubin_trend,0.021221130988430034,0.014618612443065828,0.07435079117561506,0.021273513305152994,0.0314399995808283
heart_rate_first,0.02050299548587932,0.07833527128362432,0.02393350559120809,0.045086312028406406,0.041742333729508196
ph_first,0.02042542761132306,0.04606409159683158,0.039985721680484865,0.046408745828160486,0.0365749520515395
pt_first,0.019817847138468753,0.043788410889481155,0.042427878255251364,0.03864839818615036,0.035407937191875856
anion_gap_min,0.01953398923902184,0.058052219969164744,0.03188161154920185,0.039745663336943286,0.03827043582072381
temperature_mean,0.019508097377864676,0.02938723499773125,0.03765168873258637,0.04993978512344903,0.03719598670381403
resp_rate_first,0.019446726783067678,0.02990183561014121,0.04201586822262127,0.03433433353487928,0.03970551071586436
ddimer_max,0.019417750750147497,0.025701385553214228,0.01961355524008029,0.0678950328869117,0.04532327568308248
heart_rate_min,0.019195318263639415,0.05888247701982352,0.021492893323193558,0.05880570523667236,0.036948014394565735
potassium_first,0.018928536850088773,0.03182085574678916,0.05235175524488388,0.035218833974451025,0.02747563754198158
crp_first,0.01882200625166009,0.037785809030344036,0.029705906880221122,0.0670159914371247,0.030734383919460758
lactate_first,0.018731453523801355,0.029124562550935623,0.04602995983363541,0.04472116248977731,0.028527783847504238
fibrinogen_max,0.01768295040515985,0.08768385117327142,0.019184341003676476,0.044338264323997144,0.029123217749589123
map_mean,0.017127883222857333,0.016819422946595323,0.04955938628288321,0.03184372681052167,0.02647571300156564
glucose_trend,0.01673811090843743,0.038328563540819316,0.03367957983975835,0.0329952617193972,0.03117966784371028
wbc_trend,0.016578764456260005,0.04650787870455257,0.02771112889990311,0.05626163576381047,0.02314775620026227
potassium_max,0.016443327885855476,0.028526237223095312,0.037999940087293974,0.04506112524236678,0.023748197480466544
resp_rate_max,0.016152145706149968,0.03946775955253223,0.043452030507540026,0.02489961241865853,0.023123051840611097
platelets_max,0.016125845847101743,0.026266993425353092,0.026004065192351752,0.04567764857371939,0.03261255957631586
potassium_mean,0.015927061558350195,0.031142154977262915,0.03843440734286311,0.039996565061419916,0.022177328495952747
fibrinogen_mean,0.015882888593230497,0.043548213407054386,0.0095850609938582,0.05940688625402168,0.034378818282906995
anc_max,0.015833487589568835,0.024313597137227607,0.021684364971796526,0.07853892304018016,0.021356601503320687
pco2_min,0.01581348372694671,0.03172628423001346,0.03617605693987502,0.03631254361743334,0.024899874526651797
spo2_max,0.015748228242332803,0.02731870563985885,0.0335239696575056,0.025049182465170065,0.03285440469076096
pao2_mean,0.015704530750461076,0.036770315278624226,0.026385235307286377,0.037054239658787104,0.030811976620469896
base_excess_max,0.015568831524049854,0.04875415249242333,0.03378146598771867,0.03597381354555519,0.020926399862084544
calcium_min,0.015551815829203283,0.022615303484134982,0.03435432828702219,0.055816259388057184,0.019436037699952783
resp_rate_mean,0.015491704126999923,0.031426097187527126,0.04749764837388034,0.02219634252516944,0.0198489471517788
bicarbonate_min,0.015044815836278456,0.016966260211682797,0.02777020962740629,0.043430113161613625,0.029298144189102645
hemoglobin_max,0.01490129184315052,0.036214029193512284,0.04493483309884794,0.02318072954598609,0.01722632341595814
base_excess_trend,0.01486568650224717,0.02175808618920772,0.02764027350017463,0.038940262920297744,0.029034313959765443
urea_first,0.014792625481439036,0.014351931283687771,0.01858150748549622,0.03324712333769179,0.040826771339056815
ck_min,0.014125855035566112,0.022842866557881095,0.026617244447102964,0.02608514127467788,0.03131146796788553
symptom_hemorrhage,0.01334871011621107,0.02326003433948859,0.0193394870654204,0.0213026922343746,0.035415956384558626
bicarbonate_max,0.013291438127037288,0.04039534058660299,0.02957171974904387,0.028593776832281613,0.018503474924770568
albumin_first,0.01318940211816241,0.045243786440916436,0.018434920548634263,0.025798480429252136,0.027141525407291825
systolic_bp_mean,0.01313852992821063,0.012403565571890278,0.034684843856227075,0.020619842932365736,0.02487030233124789
hemoglobin_trend,0.011999032397228819,0.02142093931794555,0.025206554345362727,0.01939680244241228,0.0250088990091282
albumin_mean,0.011998114180794155,0.04040968103358209,0.01806945835890968,0.02081933035831318,0.02493907280070201
age_years,0.011663782907775264,0.028822454053228218,0.016307593733833083,0.01901981905102846,0.028826784337712106
ck_mean,0.011595554927160526,0.02225666140826112,0.024495293220917116,0.030534258596845075,0.018593770849885075
spo2_lab_min,0.011039999348709197,0.032323081332830586,0.016520037764052902,0.02801486689944088,0.020667808566984996
sodium_mean,0.010755936721364413,0.035312989160050254,0.018579123139317248,0.032429816630383815,0.014766642080000829
lactate_min,0.010656136108070598,0.015372664737124939,0.02746190614925433,0.021141712788648948,0.017328769098711224
ck_max,0.010517659597631887,0.01960874998455199,0.023869154347317675,0.02254372152869326,0.017834914407985594
anion_gap_mean,0.010475861784958778,0.0259694883277131,0.01983901946718224,0.020059371595923508,0.020238424453372435
wbc_first,0.010465606051613303,0.017015543567503476,0.020397446918249178,0.02402474511322633,0.020605088173974138
n_cultures_24h,0.010418295085481734,0.029055585211054592,0.014948603587606996,0.025637093919979714,0.02079884067971797
ck_first,0.010138006398195927,0.019318796708341582,0.02123306280884907,0.02530240136341306,0.017043350356291554
n_positive_cultures,0.010133939244130988,0.03199766550533333,0.013783438585992486,0.02600931450801841,0.01933810542908711
albumin_max,0.010089720616435597,0.03466707460983253,0.014839306946401993,0.019088308329158834,0.020402747539361495
crp_mean,0.010077572488034432,0.016913080765987704,0.019217949104432457,0.024298672561668122,0.019549702466713594
ldh_min,0.00996081230516694,0.012761672717072875,0.017977055600992217,0.032262739821258005,0.017810120301134102
pco2_mean,0.009912966528850042,0.021856564666319658,0.017559861770686535,0.03308330541744045,0.01495611606121104
uric_acid_min,0.009890013490769603,0.029035131231460086,0.015506749633397555,0.0323655810879782,0.014807315103626982
