y_true,oof_catboost,oof_fttransformer
0,0.17041091570518932,0.00959111750125885
0,0.04095240813152738,0.004946973640471697
1,0.7591966345881809,0.9926924705505371
0,0.015067222981522004,0.004898755345493555
0,0.03832727768367295,0.00723335612565279
0,0.2770474938282713,0.015048077329993248
0,0.022362775541452905,0.01156359352171421
1,0.9939553480161447,0.9973267316818237
0,0.016286110579789348,0.0017520914552733302
0,0.05566204245880407,0.002286131028085947
0,0.03252194322772942,0.0019328449852764606
0,0.05678386103767006,0.018388763070106506
1,0.834074692867239,0.9738407731056213
1,0.9559988336812638,0.9966598749160767
0,0.0170377893660324,0.0014779281336814165
0,0.01671392865105509,0.003643561154603958
1,0.9811012791606418,0.9939753413200378
1,0.9598334359230112,0.942848801612854
1,0.1461899531659813,0.11721902340650558
1,0.9928923479106542,0.993731677532196
0,0.032233327124761235,0.040705230087041855
0,0.05906349979847282,0.009470094926655293
1,0.9905128687129362,0.9950467348098755
0,0.258687298286766,0.6423990726470947
0,0.026704819925057542,0.011983366683125496
1,0.24077153707417562,0.04986361041665077
0,0.01153203459104321,0.005072510801255703
0,0.0819359259533367,0.006047496572136879
0,0.07174496962975342,0.0054590958170592785
0,0.29523296943480976,0.13237839937210083
0,0.01934985871634349,0.10801410675048828
1,0.9455419946199725,0.9937794804573059
0,0.008747899206674434,0.0015819135587662458
0,0.1545348231327585,0.018902253359556198
0,0.15432169740806745,0.030435722321271896
0,0.0496669117500451,0.0020341945346444845
1,0.7523322064174857,0.9941249489784241
0,0.006096817152004396,0.002208661986514926
1,0.8360732249768864,0.9945935606956482
0,0.018115333456623646,0.00905713438987732
0,0.02137833670761385,0.009976065717637539
1,0.646730041483456,0.696091890335083
1,0.9368305323950097,0.9891613125801086
0,0.025035270949287494,0.0051713064312934875
0,0.05117926452930623,0.0018601755145937204
0,0.11869343121350236,0.807826817035675
0,0.03226599124882002,0.0022550527937710285
0,0.30432998650116133,0.09234952181577682
0,0.021671219552468642,0.017154553905129433
0,0.08373281583909173,0.0020237176213413477
0,0.017705929565190775,0.005775860510766506
0,0.808828300901723,0.9795336723327637
0,0.04006247666475879,0.002300684805959463
0,0.10985376125520903,0.005370460916310549
0,0.11207302930951392,0.04451952129602432
0,0.020868908274629755,0.006364963948726654
0,0.0087482752124736,0.005140291526913643
0,0.21490459240247994,0.3665369749069214
1,0.9211999129526446,0.9925776124000549
0,0.4395439352171977,0.002407231368124485
0,0.17099224150052933,0.19569918513298035
0,0.015034116594136053,0.0060354070737957954
1,0.9700410599715845,0.9967538714408875
1,0.8731113720798631,0.9934390187263489
0,0.007992506927755638,0.0019674599170684814
0,0.007796063563954117,0.005419507157057524
0,0.04519697292068801,0.008871367201209068
0,0.016291617556649114,0.00996684841811657
1,0.8276283430582677,0.9957143664360046
0,0.0596639566018108,0.18490652740001678
1,0.935054033568468,0.9956209063529968
0,0.21784614640701574,0.015561177395284176
0,0.03083583944272469,0.005140708293765783
0,0.33870564978011775,0.029465215280652046
0,0.02891412956486353,0.007456488441675901
0,0.010716944524032957,0.0049425819888710976
1,0.8816161767841464,0.9954655766487122
0,0.18227882275740132,0.022639747709035873
1,0.9585704636331206,0.993527352809906
0,0.008358658075761144,0.005189919378608465
0,0.20791530859059715,0.05569181591272354
1,0.8053041435235456,0.9639236330986023
0,0.021532062125459533,0.00531782628968358
0,0.033897557459425826,0.02072802372276783
0,0.032870491166148555,0.01821495033800602
0,0.039452426361397334,0.010572169907391071
0,0.49338164099820364,0.0021365717984735966
0,0.023002655354962407,0.022311313077807426
0,0.0752724400274632,0.07861466705799103
0,0.047515483230334665,0.014858008362352848
0,0.031204652189809785,0.013649322092533112
0,0.019203868273883495,0.024122141301631927
1,0.7017464975133736,0.7612841725349426
0,0.18421706673764232,0.03716806694865227
0,0.056848715220343765,0.015129358507692814
1,0.7683860190619383,0.9876213669776917
0,0.0315429706208268,0.00990463700145483
0,0.04175163394884571,0.0034698117524385452
0,0.04172256133985755,0.0033373795449733734
0,0.012271555064179481,0.0052138944156467915
0,0.06889146193054983,0.0042754244059324265
1,0.9602072468301022,0.993224561214447
0,0.017817890580947696,0.006741323042660952
