feature,mean_abs_shap,display_name,rank
symptom_twitching,0.0,symptom_twitching,216
symptom_anhelation,0.0,symptom_anhelation,217
symptom_cool_extremities,0.0,symptom_cool_extremities,218
symptom_warm_extremities,0.0,symptom_warm_extremities,219
symptom_hemorrhage,0.0,symptom_hemorrhage,220
symptom_dysphoria,0.0,symptom_dysphoria,221
symptom_skin_jaundice,0.0,symptom_skin_jaundice,222
symptom_arrhythmia,0.0,symptom_arrhythmia,223
symptom_vomiting,0.0,symptom_vomiting,224
spo2_mean,0.0,spo2_mean,225
