column,dtype,n_total,n_missing,missing_pct,n_unique,min,max,mean,median,std,pct_zero,top_values,flags
spo2_max_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.2906,0.0,0.4541,70.9,"{0: 7063, 1: 2894}",
spo2_min,float64,9957,0,0.0,37,50.0,100.0,98.671,99.0,2.1659,0.0,"{99.0: 7490, 100.0: 1197, 98.0: 532, 97.0: 223, 96.0: 165}",
spo2_min_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.2906,0.0,0.4541,70.9,"{0: 7063, 1: 2894}",
spo2_mean,float64,9957,0,0.0,225,61.0,100.0,98.8546,99.0,1.5015,0.0,"{99.0: 7451, 100.0: 1197, 98.0: 339, 97.0: 140, 96.0: 76}",
spo2_mean_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.2906,0.0,0.4541,70.9,"{0: 7063, 1: 2894}",
spo2_first,float64,9957,0,0.0,32,57.0,100.0,99.5707,100.0,1.7838,0.0,"{100.0: 8642, 98.0: 410, 99.0: 377, 97.0: 166, 96.0: 137}",
spo2_first_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.2906,0.0,0.4541,70.9,"{0: 7063, 1: 2894}",
spo2_count,int64,9957,0,0.0,28,0.0,31.0,0.7561,0.0,2.1563,70.9,"{0: 7063, 1: 1566, 2: 589, 3: 295, 4: 111}",
systolic_bp_max,float64,9957,0,0.0,130,31.0,216.0,101.3852,102.0,12.8686,0.0,"{102.0: 6491, 98.0: 119, 112.0: 97, 110.0: 97, 106.0: 95}",
systolic_bp_max_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.3594,0.0,0.4799,64.1,"{0: 6378, 1: 3579}",
systolic_bp_min,float64,9957,0,0.0,126,30.0,180.0,97.2203,98.0,12.3288,0.0,"{98.0: 6512, 102.0: 129, 106.0: 93, 110.0: 93, 96.0: 91}",
systolic_bp_min_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.3594,0.0,0.4799,64.1,"{0: 6378, 1: 3579}",
systolic_bp_mean,float64,9957,0,0.0,379,31.0,184.5,99.4709,100.3333,12.2552,0.0,"{100.3333: 6382, 98.0: 108, 102.0: 100, 106.0: 89, 112.0: 78}",
systolic_bp_mean_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.3594,0.0,0.4799,64.1,"{0: 6378, 1: 3579}",
systolic_bp_first,float64,9957,0,0.0,130,31.0,216.0,100.2495,101.0,13.0042,0.0,"{101.0: 6458, 98.0: 115, 102.0: 115, 112.0: 92, 110.0: 92}",
systolic_bp_first_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.3594,0.0,0.4799,64.1,"{0: 6378, 1: 3579}",
systolic_bp_count,int64,9957,0,0.0,15,0.0,16.0,0.5731,0.0,1.0007,64.1,"{0: 6378, 1: 2268, 2: 834, 3: 320, 4: 83}",
diastolic_bp_max,float64,9957,0,0.0,104,12.0,155.0,60.0299,60.0,9.713,0.0,"{60.0: 6465, 56.0: 135, 65.0: 109, 62.0: 109, 68.0: 101}",
diastolic_bp_max_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.3592,0.0,0.4798,64.1,"{0: 6380, 1: 3577}",
diastolic_bp_min,float64,9957,0,0.0,98,6.0,140.0,55.9862,56.0,9.2684,0.0,"{56.0: 6527, 52.0: 112, 58.0: 103, 54.0: 103, 62.0: 103}",
diastolic_bp_min_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.3592,0.0,0.4798,64.1,"{0: 6380, 1: 3577}",
diastolic_bp_mean,float64,9957,0,0.0,323,12.0,147.5,57.9677,58.0,9.1258,0.0,"{58.0: 6450, 56.0: 115, 65.0: 87, 54.0: 86, 52.0: 86}",
