column,dtype,n_total,n_missing,missing_pct,n_unique,min,max,mean,median,std,pct_zero,top_values,flags
hematocrit_min,float64,2530,0,0.0,413,0.0,66.7,30.0758,29.9,7.9009,0.3,"{29.9: 79, 29.5: 24, 30.5: 23, 27.0: 21, 30.1: 21}",
hematocrit_mean,float64,2530,0,0.0,1686,8.0667,70.45,33.7243,33.15,7.2477,0.0,"{33.15: 64, 33.3: 8, 37.0: 8, 34.9: 7, 31.8: 7}",
hematocrit_first,float64,2530,0,0.0,411,4.3,69.1,34.1172,33.9,8.0981,0.0,"{33.9: 72, 32.9: 26, 35.3: 23, 33.3: 22, 32.8: 21}",
hematocrit_count,int64,2530,0,0.0,19,0.0,18.0,4.9486,5.0,2.372,2.4,"{5: 551, 4: 421, 6: 349, 3: 341, 2: 242}",
pt_max,float64,2530,0,0.0,223,8.6,107.7,14.2872,12.8,6.7432,0.0,"{12.8: 686, 12.0: 59, 11.8: 57, 12.1: 57, 12.5: 55}",
pt_max_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7455,1.0,0.4357,25.5,"{1: 1886, 0: 644}",
pt_min,float64,2530,0,0.0,186,8.6,99.8,13.3959,12.5,4.4545,0.0,"{12.5: 704, 12.0: 68, 11.8: 65, 11.9: 61, 12.4: 59}",
pt_min_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7455,1.0,0.4357,25.5,"{1: 1886, 0: 644}",
pt_mean,float64,2530,0,0.0,326,8.6,99.8,13.8147,12.65,5.1417,0.0,"{12.65: 657, 12.0: 60, 11.9: 54, 11.8: 53, 12.1: 51}",
pt_mean_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7455,1.0,0.4357,25.5,"{1: 1886, 0: 644}",
pt_first,float64,2530,0,0.0,212,8.6,107.7,14.0074,12.6,6.2657,0.0,"{12.6: 696, 11.8: 61, 12.0: 61, 11.9: 58, 12.5: 57}",
pt_first_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7455,1.0,0.4357,25.5,"{1: 1886, 0: 644}",
pt_count,int64,2530,0,0.0,6,0.0,5.0,1.0119,1.0,0.7878,25.5,"{1: 1314, 0: 644, 2: 489, 3: 69, 4: 9}",
ptt_max,float64,2530,0,0.0,565,15.4,175.9,37.8852,32.6,19.6095,0.0,"{32.6: 658, 30.6: 16, 29.7: 16, 27.3: 15, 33.9: 15}",
ptt_max_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7423,1.0,0.4375,25.8,"{1: 1878, 0: 652}",
ptt_min,float64,2530,0,0.0,469,15.3,152.5,33.9138,30.8,12.8539,0.0,"{30.8: 666, 27.3: 18, 28.0: 17, 26.5: 17, 29.1: 16}",
ptt_min_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7423,1.0,0.4375,25.8,"{1: 1878, 0: 652}",
ptt_mean,float64,2530,0,0.0,699,15.4,152.5,35.838,31.825,14.932,0.0,"{31.825: 652, 30.6: 15, 27.3: 15, 31.0: 14, 29.7: 14}",
ptt_mean_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7423,1.0,0.4375,25.8,"{1: 1878, 0: 652}",
ptt_first,float64,2530,0,0.0,540,15.3,166.0,36.6875,32.1,17.3282,0.0,"{32.1: 659, 27.3: 19, 25.7: 19, 33.9: 16, 29.1: 15}",
ptt_first_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7423,1.0,0.4375,25.8,"{1: 1878, 0: 652}",
ptt_count,int64,2530,0,0.0,7,0.0,6.0,0.9984,1.0,0.7712,25.8,"{1: 1314, 0: 652, 2: 493, 3: 62, 4: 6}",
sodium_max,float64,2530,0,0.0,61,112.0,190.0,139.6866,139.0,6.0143,0.0,"{139.0: 315, 138.0: 239, 140.0: 237, 141.0: 193, 137.0: 191}",
sodium_min,float64,2530,0,0.0,53,104.0,172.0,134.9059,135.0,5.2785,0.0,"{135.0: 333, 136.0: 261, 134.0: 225, 137.0: 216, 138.0: 195}",
sodium_mean,float64,2530,0,0.0,368,111.5,177.0,137.3191,137.1667,5.0214,0.0,"{136.0: 114, 137.0: 109, 138.0: 105, 140.0: 96, 135.0: 96}",
sodium_first,float64,2530,0,0.0,57,104.0,181.0,137.3123,137.0,5.6742,0.0,"{137.0: 296, 136.0: 224, 140.0: 213, 138.0: 213, 139.0: 193}",
sodium_count,int64,2530,0,0.0,17,0.0,16.0,3.2451,3.0,2.0263,2.7,"{3: 605, 2: 551, 1: 392, 4: 382, 5: 214}",
potassium_max,float64,2530,0,0.0,64,1.8,12.0,4.202,4.1,0.808,0.0,"{4.1: 270, 4.2: 189, 4.0: 183, 3.8: 182, 3.9: 165}",
potassium_min,float64,2530,0,0.0,48,1.2,10.7,3.4772,3.5,0.6141,0.0,"{3.5: 264, 3.4: 183, 3.3: 176, 3.6: 165, 3.2: 155}",
